FirstIndex	LastIndex	PatternSize	CopyNumber	Score
683084	683184	31	3,147059	121
690903	690936	2	17,000000	68
691346	691371	2	13,000000	52
692071	692118	23	2,086957	87
692254	692319	28	2,357143	132
693075	693115	22	1,954545	59
694607	694667	30	2,066667	79
700655	700713	28	2,107143	91
701383	701409	13	2,076923	54
722704	722779	37	2,081081	109
723608	723646	17	2,352941	53
725006	725031	3	8,666667	52
725278	725306	3	9,666667	58
725752	725805	15	3,368421	54
727969	728003	4	8,750000	70
728287	728337	27	1,925926	68
729081	729398	159	2,000000	636
731313	731350	14	2,785714	51
732983	733018	16	2,250000	54
733069	733114	3	15,000000	74
733222	733346	16	7,521739	83
733246	733322	3	23,666666	73
733251	733321	38	1,947368	103
734969	734993	12	2,083333	50
738388	738421	3	11,666667	52
741569	741877	154	2,006494	564
760862	760957	3	32,000000	156
761433	761465	15	2,266667	50
761474	761513	21	1,952381	64
762728	762899	62	2,787879	208
762911	763002	44	2,136364	107
764731	764857	3	42,333332	254
776930	776967	20	2,000000	62
776930	776977	20	2,523809	57
777063	777093	7	4,428571	62
777594	777631	20	2,000000	53
778012	778058	18	2,611111	76
781963	782008	23	2,000000	65
782696	782853	79	2,025316	266
791900	791945	21	2,333333	62
810424	810474	20	2,550000	84
813173	813206	17	2,000000	68
816723	816760	20	1,900000	58
817231	817292	31	2,000000	97
817352	817381	2	15,000000	51
818218	818258	22	1,954545	59
819283	819362	40	2,000000	142
821107	821222	34	3,225000	97
821120	821223	35	2,894737	100
824116	824169	25	2,240000	67
824625	825040	232	1,810345	687
824626	825040	115	3,615385	618
824880	824917	15	2,625000	53
824880	824912	16	2,187500	52
827490	827677	26	7,576923	187
827490	827676	75	2,545455	231
829482	829865	133	2,903704	614
846690	846738	22	2,217391	71
847299	847372	33	2,303030	80
850573	850654	43	1,953488	132
850573	850654	21	3,909091	112
850874	850915	21	2,000000	75
850889	850973	39	2,179487	134
851206	851268	33	1,909091	90
853089	853132	22	2,045455	63
869134	869183	21	2,380952	100
881191	881238	4	12,250000	62
881191	881247	28	2,071429	89
881193	881230	19	2,000000	76
893077	893136	27	2,321429	63
893239	893293	13	4,125000	51
901839	901895	28	2,107143	73
904035	904279	47	5,206897	268
904084	904281	105	1,914286	303
912701	912735	17	2,058824	70
913502	913575	31	2,516129	93
913506	913559	16	3,470588	60
914016	914058	21	2,047619	86
914661	914751	44	2,068182	164
914672	914768	45	2,234043	121
917617	917679	19	3,315789	108
918917	918947	9	3,444444	53
919901	919961	2	32,000000	56
921901	921980	25	3,200000	151
923327	923420	42	2,357143	108
926898	926948	21	2,476191	77
930361	930442	26	3,148148	85
931502	931540	17	2,411765	64
937479	937554	37	2,081081	127
937538	937563	12	2,166667	52
938556	939979	174	8,157895	1498
938556	939781	351	3,525281	1667
938704	938755	14	3,470588	59
939578	939628	14	3,411765	66
943235	943671	241	1,821577	707
960025	960055	16	1,937500	53
960609	960667	29	2,034483	82
960635	960676	19	2,315789	61
960915	960998	42	2,000000	150
963585	963622	20	1,900000	58
964955	964986	16	2,000000	64
965758	965798	18	2,333333	57
969125	969191	3	22,333334	134
969131	969237	9	12,000000	96
970350	970393	3	14,666667	61
972628	972743	38	3,050000	126
980172	980201	11	2,727273	60
982907	982951	22	2,045455	90
999399	999423	6	4,166667	50
1001493	1001529	14	2,785714	51
1004155	1004218	31	2,064516	119
1016063	1016096	3	11,333333	68
1018132	1018174	22	1,954545	59
1019120	1019157	20	1,950000	60
1020848	1020888	9	4,666667	57
1023008	1023038	16	1,937500	62
1023118	1023174	30	1,900000	87
1025496	1025549	27	2,000000	90
1031271	1031330	33	1,909091	90
1041252	1041325	31	2,454545	82
1041254	1041313	31	1,967742	86
1041604	1041645	23	1,913043	61
1043778	1044111	147	2,275168	499
1044400	1044439	16	2,470588	53
1046150	1046176	5	5,400000	54
1049062	1049091	10	3,100000	53
1049062	1049098	19	1,947368	56
1049063	1049088	9	2,888889	52
1050974	1051040	28	2,392857	116
1059136	1059231	27	3,678571	101
1059187	1059239	26	2,038461	88
1061127	1061187	30	2,033333	113
1062248	1062274	2	13,500000	54
1062894	1062924	15	2,066667	62
1071224	1071248	4	6,250000	50
1078298	1078333	19	1,947368	56
1084487	1084532	25	1,920000	60
1093085	1093136	28	1,964286	74
1093089	1093136	12	3,923077	51
1093106	1093170	25	2,692308	73
1093624	1093673	22	2,291667	57
1093625	1093667	23	1,913043	61
1097389	1097443	11	4,833333	65
1097399	1097444	12	3,916667	67
1100078	1100398	5	65,166664	582
1113085	1113135	25	2,040000	102
1116324	1116514	95	2,000000	373
1122199	1122240	12	3,357143	59
1122428	1122485	26	2,333333	68
1122440	1122491	27	2,074074	67
1134266	1134332	27	2,481482	134
1139635	1139707	33	2,212121	128
1154537	1154568	16	2,000000	55
1159052	1159083	16	2,000000	64
1163322	1163438	58	2,017241	198
1168218	1168261	21	2,095238	79
1168571	1168608	14	2,857143	53
1169053	1169091	21	1,904762	71
1170916	1170974	3	19,666666	118
1171929	1171962	2	17,000000	68
1174418	1174469	26	2,038461	88
1181467	1181592	35	3,500000	139
1181491	1181592	35	2,842105	141
1181990	1182036	24	2,000000	60
1182008	1182075	29	2,387097	86
1182009	1182072	30	2,233333	89
1184660	1184709	3	16,666666	73
1186666	1186775	58	1,896552	184
1187406	1187571	73	2,273973	332
1193601	1193626	5	5,200000	52
1193638	1193668	7	4,428571	62
1194227	1194254	8	3,500000	56
1195790	1195824	17	2,058824	52
1199284	1199326	3	14,333333	86
1201207	1201279	3	24,333334	92
1204831	1204907	15	5,235294	97
1206160	1206215	27	2,074074	112
1207497	1207586	44	2,090909	103
1215673	1215792	21	5,954545	99
1236471	1236495	12	2,083333	50
1237212	1237255	17	2,588235	70
1240595	1240631	3	12,333333	65
1240635	1240665	3	10,333333	53
1241542	1241573	2	16,000000	64
1241668	1241708	21	1,952381	82
1247687	1247730	21	2,095238	70
1262845	1262963	60	2,000000	213
1272746	1272825	33	2,424242	115
1277338	1277365	3	9,333333	56
1285229	1285288	29	2,068965	93
1290933	1290973	17	2,588235	52
1291077	1291124	19	2,500000	60
1292873	1292956	42	2,023809	143
1292944	1293002	24	2,440000	100
1297658	1297685	2	14,000000	56
1302578	1302661	41	2,097561	100
1304364	1304421	16	3,333333	53
1304631	1304718	7	12,900000	71
1309538	1309563	2	13,000000	52
1313141	1313191	26	2,038461	70
1314826	1314868	21	2,047619	68
1317464	1317561	21	4,428571	110
1317464	1317570	18	5,840000	87
1317464	1317560	17	5,521739	72
1317464	1317557	35	2,666667	111
1317482	1317568	3	28,000000	79
1317565	1317592	13	2,153846	56
1317667	1317735	3	22,750000	129
1318393	1318428	16	2,250000	54
1318510	1318579	3	22,250000	79
1318511	1318595	30	2,794118	102
1318513	1318604	10	8,714286	71
1318533	1318597	16	3,681818	60
1318580	1318619	21	1,952381	64
1318635	1318682	17	2,789474	53
1318695	1318791	30	3,333333	101
1318697	1318755	3	19,400000	66
1318703	1318783	23	3,500000	60
1319752	1319822	34	2,088235	133
1326264	1326305	17	2,647059	54
1337689	1337779	31	3,000000	91
1340347	1340399	28	1,928571	81
1346483	1346787	87	3,425532	425
1347022	1347197	51	3,388889	264
1347127	1347152	12	2,166667	52
1348850	1349038	81	2,333333	378
1348895	1348945	21	2,500000	70
1348904	1348945	21	2,047619	77
1348976	1349026	21	2,500000	70
1348985	1349026	21	2,047619	77
1352264	1352297	17	2,058824	52
1355949	1355998	21	2,380952	100
1356862	1357065	68	3,000000	390
1357551	1357593	22	1,954545	86
1369118	1369174	22	2,583333	62
1369409	1369437	14	2,142857	51
1371551	1371646	42	2,279070	183
1383368	1383423	30	1,900000	87
1386124	1386156	17	1,941176	66
1399386	1399437	22	2,454545	63
1400343	1400405	3	20,750000	117
1407059	1407108	26	1,961538	75
1407672	1407925	27	9,366667	217
1407778	1407898	27	4,555555	165
1415006	1415030	8	3,125000	50
1418299	1418328	2	15,000000	60
1418601	1418628	6	4,666667	56
1419394	1419424	2	15,500000	62
1424318	1424355	20	1,950000	69
1425537	1425563	14	1,928571	54
1428563	1428596	4	8,200000	59
1430402	1430447	24	1,916667	56
1433210	1433259	26	1,961538	75
1433464	1433516	13	4,071429	72
1434058	1434195	31	4,459459	124
1434068	1434158	6	14,777778	89
1434104	1434158	25	2,280000	87
1434273	1434319	23	2,086957	60
1434595	1434683	46	1,934783	106
1434724	1434752	13	2,230769	58
1436928	1436967	21	1,952381	55
1449817	1449841	2	12,500000	50
1453872	1453896	2	12,500000	50
1454370	1454430	24	2,541667	113
1455711	1455742	2	16,000000	64
1462071	1462117	23	2,043478	94
1463975	1464055	36	2,250000	162
1468349	1468389	21	1,952381	73
1476817	1476845	2	14,500000	58
1484202	1484242	20	2,100000	75
1486556	1486589	16	2,125000	59
1488533	1488576	14	3,066667	52
1494552	1494608	21	2,714286	114
1494680	1494884	53	3,867924	347
1501842	1501887	19	2,473684	67
1502341	1502375	2	17,500000	70
1504575	1504619	16	2,823529	56
1504692	1504736	24	1,916667	65
1506576	1506614	5	7,800000	51
1506582	1506614	10	3,300000	57
1510803	1510858	27	2,148148	71
1510970	1510996	12	2,250000	54
1514333	1514711	211	1,805687	672
1520167	1520241	35	2,142857	96
1520670	1520700	3	10,333333	62
1523886	1523943	3	19,333334	71
1524546	1524593	25	2,040000	66
1525165	1525212	25	2,000000	73
1525192	1525372	75	2,506329	182
1525364	1525406	17	2,588235	52
1525427	1525466	2	21,000000	57
1525825	1525869	21	2,333333	62
1525825	1525870	21	2,333333	62
1527462	1527493	15	2,200000	57
1534078	1534123	24	2,041667	62
1540208	1540291	3	28,000000	168
1544804	1544859	28	2,000000	112
1548509	1548563	21	2,636364	58
1548536	1548622	24	3,444444	129
1550153	1550188	2	18,000000	72
1555065	1555167	35	2,971429	127
1556722	1556779	23	2,538461	66
1556723	1556773	26	2,038461	79
1557418	1557464	22	2,181818	60
1557432	1557471	21	1,904762	53
1566025	1566092	36	2,000000	99
1570905	1570954	24	2,083333	100
1571305	1571329	13	1,923077	50
1571587	1571692	52	2,150943	125
1575472	1575510	20	2,050000	64
1576158	1576309	81	1,913580	247
1576801	1576928	38	3,475000	122
1576895	1576960	33	2,030303	98
1577072	1577138	36	1,916667	84
1579412	1579455	22	2,045455	63
1582885	1582917	17	2,000000	59
1585469	1585511	21	2,047619	86
1597944	1598003	30	2,000000	111
1598543	1598584	22	1,909091	66
1607442	1607466	2	12,500000	50
1608887	1609096	114	1,850877	341
1609664	1609693	15	2,000000	60
1612619	1612652	7	4,625000	59
1613125	1613155	15	2,066667	53
1613941	1614002	25	2,560000	65
1613972	1614011	17	2,411765	55
1614013	1614055	21	2,095238	61
1616079	1616105	2	13,500000	54
1624459	1624486	2	14,000000	56
1624691	1624743	25	2,200000	74
1624864	1624905	23	2,000000	56
1624879	1624987	55	2,072727	120
1625078	1625134	20	2,772727	60
1625090	1625138	22	2,272727	64
1626627	1626685	3	19,666666	109
1626815	1626867	17	3,222222	67
1629148	1629223	28	2,606061	98
1629157	1629216	31	1,935484	120
1640914	1640959	2	23,000000	92
1641387	1641411	5	5,000000	50
1650193	1650231	18	2,166667	69
1651409	1651480	33	2,303030	98
1652786	1652824	14	2,800000	53
1663374	1663415	2	21,000000	84
1664948	1664981	15	2,333333	61
1669185	1669217	2	16,000000	57
1672099	1672139	19	2,315789	52
1672100	1672137	19	2,105263	53
1672628	1672682	29	1,965517	78
1673788	1673833	16	3,250000	50
1675903	1675933	9	3,300000	53
1675939	1675968	2	15,000000	60
1681971	1682157	62	3,096774	186
1682823	1682861	21	2,000000	57
1685255	1685303	21	2,333333	62
1686177	1686211	13	2,846154	56
1686177	1686211	6	5,857143	54
1690873	1690929	30	1,966667	82
1693381	1693426	23	2,000000	92
1700206	1700314	42	2,619048	211
1702463	1702496	18	1,944444	52
1702463	1702504	18	2,444444	52
1702909	1703020	57	1,982456	208
1706055	1706101	22	2,136364	94
1706495	1706535	19	2,157895	64
1712700	1712769	32	2,281250	83
1714010	1714086	4	19,000000	64
1714013	1714087	16	4,647059	123
1722326	1722380	25	2,280000	78
1722823	1722863	22	1,909091	57
1723343	1723437	44	2,155555	127
1736009	1736051	24	1,916667	65
1739616	1739645	15	2,000000	51
1739638	1739683	22	2,272727	55
1742502	1742576	28	2,750000	91
1752062	1752121	30	2,033333	104
1752197	1752264	32	2,250000	81
1753290	1753393	56	1,910714	142
1775962	1775994	17	2,000000	50
1775991	1776033	23	1,913043	70
1794820	1794866	20	2,450000	53
1795823	1795847	2	12,500000	50
1797781	1797824	2	22,000000	70
1799251	1799315	30	2,266667	73
1799413	1799452	21	1,904762	80
1803117	1803286	38	4,409091	145
1808481	1808561	31	2,838710	77
1811961	1812080	56	2,142857	231
1817982	1818042	29	2,172414	81
1817989	1818043	29	1,965517	87
1834354	1834392	17	2,294118	51
1834368	1834488	55	2,236364	129
1836890	1836941	27	2,074074	67
1836946	1836974	2	14,500000	58
1839240	1839312	26	2,814815	94
1839350	1839462	51	2,250000	140
1853030	1853059	2	15,000000	60
1856596	1856643	4	12,250000	62
1856596	1856652	28	2,071429	89
1856597	1856638	16	2,687500	59
1856598	1856635	19	2,000000	67
1860696	1860748	27	1,962963	106
1861724	1861759	19	1,947368	56
1862232	1862327	36	2,666667	88
1869112	1869274	28	5,862069	242
1869487	1869630	70	2,057143	243
1869592	1869625	17	2,000000	59
1872217	1872377	28	5,758621	281
1874803	1874889	43	2,023256	174
1876013	1876110	31	3,027027	92
1876014	1876111	46	2,127660	169
1876017	1876126	31	3,657143	88
1877735	1877781	25	1,920000	78
1885090	1885170	40	2,050000	101
1890935	1890994	1	60,000000	120
1892168	1892204	16	2,375000	58
1894597	1894623	2	13,500000	54
1895388	1895546	80	1,987500	291
1895911	1896054	72	2,000000	216
1916397	1916447	22	2,318182	57
1925360	1925397	4	9,500000	67
1925784	1925957	3	58,333332	332
1926527	1926565	3	13,000000	53
1926534	1926565	16	2,000000	64
1940405	1940449	2	22,500000	81
1945277	1945323	3	15,666667	94
1947243	1947601	192	1,901042	505
1959662	1959688	2	13,500000	54
1961232	1961327	50	1,920000	138
1968967	1968994	7	4,000000	56
1969072	1969139	33	2,060606	127
1969077	1969129	16	3,222222	63
1969090	1969139	17	3,000000	59
1969201	1969256	27	2,111111	87
1970501	1970547	19	2,550000	53
1977970	1978061	47	1,957447	166
1978764	1978793	2	15,000000	60
1978902	1978950	23	2,130435	80
1980537	1980595	30	1,966667	91
1980544	1980637	30	3,121212	86
1982249	1982285	17	2,235294	58
1982504	1982540	20	1,950000	60
1983176	1983202	2	13,500000	54
1984128	1984154	6	4,500000	54
1987536	1987566	1	31,000000	62
1988957	1989059	34	3,029412	206
1989040	1989110	20	3,571429	99
1989045	1989106	22	3,000000	80
1989553	1989589	2	18,500000	65
1991556	1991607	21	2,619048	56
1991645	1991683	2	19,500000	78
1991676	1991725	26	2,076923	72
1995814	1995858	23	2,000000	65
1996535	1996562	6	4,666667	56
1998969	1999007	21	1,952381	55
2000588	2000629	18	2,333333	84
2012706	2012749	23	1,913043	79
2013936	2013975	21	1,904762	80
2017561	2017592	16	2,062500	57
2017565	2017590	13	2,000000	52
2021172	2021248	30	2,566667	100
2024484	2024545	22	2,833333	56
2025166	2025439	134	2,044776	512
2034974	2035046	37	1,972973	146
2038422	2038469	2	24,000000	96
2046759	2046875	59	2,016949	202
2047805	2047841	8	4,750000	58
2051859	2051927	31	2,290323	79
2053916	2053961	23	2,000000	92
2054003	2054132	61	2,129032	242
2054012	2054100	14	5,900000	72
2054106	2054135	2	15,000000	51
2060152	2060179	3	9,333333	56
2061801	2062781	349	2,820937	1245
2072368	2072573	66	3,119403	270
2072798	2073384	147	3,993421	662
2072799	2073354	297	1,892256	728
2075926	2075992	33	2,121212	95
2076225	2076787	218	2,598253	597
2077155	2077186	3	10,666667	55
2078636	2078712	3	25,666666	106
2078822	2078872	20	2,700000	63
2079104	2079157	3	18,333334	101
2079167	2079208	22	1,909091	75
2079230	2079268	19	2,157895	55
2079271	2079322	18	2,894737	52
2079318	2079352	19	1,947368	56
2079395	2079437	18	2,473684	54
2095462	2095634	3	57,666668	337
2098990	2099075	32	2,687500	172
2104779	2104804	2	13,000000	52
2105571	2105633	34	1,941176	96
2116115	2116172	20	2,869565	57
2118686	2118740	20	2,809524	78
2120585	2120659	32	2,375000	116
2120750	2120792	14	2,937500	50
2123738	2123777	20	2,050000	55
2131209	2131233	6	4,166667	50
2133319	2133446	61	2,147541	163
2135697	2135734	19	2,105263	53
2136066	2136099	2	17,000000	68
2150905	2150955	24	2,208333	61
2152333	2152368	19	1,947368	65
2155516	2155579	27	2,448276	71
2156984	2157019	17	2,235294	58
2156984	2157027	15	2,882353	54
2157443	2157567	5	25,200001	225
2157766	2157826	3	20,333334	122
2158836	2158903	28	2,428571	136
2159891	2159929	2	19,500000	69
2163968	2164090	63	1,984127	178
2165818	2165858	16	2,529412	55
2169562	2169610	12	4,214286	52
2169564	2169612	5	10,333333	61
2176715	2176767	27	1,962963	79
2177522	2177603	31	2,645161	155
2177626	2177682	30	2,000000	84
2178975	2179004	16	1,937500	53
2178975	2179004	14	2,142857	51
2181780	2181833	28	1,928571	90
2183293	2183555	130	2,023077	490
2184595	2184631	19	1,947368	74
2186849	2186919	28	2,551724	90
2188388	2188487	51	1,960784	191
2189819	2189885	33	2,030303	134
2191053	2191087	2	17,500000	52
2195171	2195202	17	1,941176	57
2196041	2196102	33	1,969697	94
2196052	2196102	17	3,055556	61
2196141	2196166	12	2,166667	52
2198313	2198479	93	1,838710	243
2212578	2212812	3	78,000000	434
2214460	2214490	12	2,583333	53
2215640	2215777	71	1,943662	204
2215666	2215716	22	2,318182	84
2218023	2218208	3	62,333332	338
2218741	2218823	21	3,958333	73
2219089	2219211	64	1,984375	155
2219131	2219213	38	2,368421	90
2222002	2222216	123	1,813008	356
2225808	2225851	21	2,190476	56
2226594	2226656	18	3,578947	87
2226785	2226844	33	1,909091	81
2227864	2227902	21	1,904762	62
2229135	2229179	12	3,750000	54
2231903	2231980	39	2,000000	111
2233376	2233413	4	9,400000	67
2233663	2233728	24	2,750000	96
2234459	2234560	50	2,040000	159
2237748	2237835	26	3,218750	70
2239090	2239152	19	3,181818	56
2245379	2245422	16	2,812500	54
2246536	2246635	41	2,511628	100
2246569	2246644	40	1,900000	107
2247474	2247499	12	2,166667	52
2248747	2248920	30	5,800000	240
2248747	2248942	60	3,262295	241
2248749	2248939	90	2,122222	283
2248766	2248942	30	5,900000	228
2248809	2248958	30	5,000000	131
2249787	2250258	244	1,987705	583
2251284	2251311	12	2,333333	56
2265715	2265821	32	3,305556	108
2270044	2270089	23	2,000000	92
2278946	2278991	24	2,000000	60
2286856	2286891	18	2,000000	54
2291596	2291773	87	2,045977	320
