ENTREZID,"GENENAME","SYMBOL","ONTOLOGY","GO","CHR"
101508341,"ATP synthase subunit d, mitochondrial","LOC101508341","MF","GO:0015078","Ca4"
101508341,"ATP synthase subunit d, mitochondrial","LOC101508341","BP","GO:0015986","Ca4"
101508655,"LOB domain-containing protein 1-like","LOC101508655",NA,NA,"Ca4"
101508971,"pentatricopeptide repeat-containing protein At2g16880","LOC101508971",NA,NA,"Ca4"
101503494,"piriformospora indica-insensitive protein 2","LOC101503494",NA,NA,"Ca4"
101509929,"uncharacterized LOC101509929","LOC101509929","MF","GO:0004848","Ca4"
105851884,"uncharacterized LOC105851884","LOC105851884",NA,NA,"Ca4"
101511013,"Golgi to ER traffic protein 4 homolog","LOC101511013","BP","GO:0045048","Ca4"
101510694,"glutamyl-tRNA(Gln) amidotransferase subunit C, chloroplastic/mitochondrial","LOC101510694","CC","GO:0009507","Ca4"
101510694,"glutamyl-tRNA(Gln) amidotransferase subunit C, chloroplastic/mitochondrial","LOC101510694","CC","GO:0030956","Ca4"
101510694,"glutamyl-tRNA(Gln) amidotransferase subunit C, chloroplastic/mitochondrial","LOC101510694","CC","GO:0005739","Ca4"
101510694,"glutamyl-tRNA(Gln) amidotransferase subunit C, chloroplastic/mitochondrial","LOC101510694","MF","GO:0005524","Ca4"
101510694,"glutamyl-tRNA(Gln) amidotransferase subunit C, chloroplastic/mitochondrial","LOC101510694","MF","GO:0050567","Ca4"
101510694,"glutamyl-tRNA(Gln) amidotransferase subunit C, chloroplastic/mitochondrial","LOC101510694","MF","GO:0016740","Ca4"
101510694,"glutamyl-tRNA(Gln) amidotransferase subunit C, chloroplastic/mitochondrial","LOC101510694","BP","GO:0070681","Ca4"
101510694,"glutamyl-tRNA(Gln) amidotransferase subunit C, chloroplastic/mitochondrial","LOC101510694","BP","GO:0032543","Ca4"
101510694,"glutamyl-tRNA(Gln) amidotransferase subunit C, chloroplastic/mitochondrial","LOC101510694","BP","GO:0006450","Ca4"
101512072,"glycine-rich cell wall structural protein 2","LOC101512072",NA,NA,"Ca4"
101512400,"alkaline/neutral invertase CINV2","LOC101512400","MF","GO:0033926","Ca4"
101503831,"TBC1 domain family member 15-like","LOC101503831",NA,NA,"Ca4"
101512714,"RNA-binding protein 7","LOC101512714","MF","GO:0003723","Ca4"
101513917,"embryogenesis-associated protein EMB8-like","LOC101513917",NA,NA,"Ca4"
101514452,"embryogenesis-associated protein EMB8-like","LOC101514452","CC","GO:0016021","Ca4"
101514777,"scarecrow-like protein 18","LOC101514777",NA,NA,"Ca4"
101515102,"FHA domain-containing protein PS1","LOC101515102",NA,NA,"Ca4"
101515427,"protein SENSITIVE TO PROTON RHIZOTOXICITY 1","LOC101515427","MF","GO:0003676","Ca4"
101515757,"tetratricopeptide repeat domain-containing protein PYG7, chloroplastic","LOC101515757","CC","GO:0016021","Ca4"
101488516,"dihydrolipoyllysine-residue acetyltransferase component 5 of pyruvate dehydrogenase complex, chloroplastic","LOC101488516","MF","GO:0016746","Ca4"
101488861,"probable LRR receptor-like serine/threonine-protein kinase At1g34110","LOC101488861","CC","GO:0016021","Ca4"
101488861,"probable LRR receptor-like serine/threonine-protein kinase At1g34110","LOC101488861","MF","GO:0005524","Ca4"
101488861,"probable LRR receptor-like serine/threonine-protein kinase At1g34110","LOC101488861","MF","GO:0004672","Ca4"
101489186,"uncharacterized LOC101489186","LOC101489186",NA,NA,"Ca4"
101493818,"vacuolar protein sorting-associated protein 2 homolog 3-like","LOC101493818","BP","GO:0007034","Ca4"
101489515,"isoliquiritigenin 2'-O-methyltransferase","LOC101489515","MF","GO:0008171","Ca4"
101489515,"isoliquiritigenin 2'-O-methyltransferase","LOC101489515","MF","GO:0046983","Ca4"
101489515,"isoliquiritigenin 2'-O-methyltransferase","LOC101489515","BP","GO:0032259","Ca4"
101489831,"uncharacterized LOC101489831","LOC101489831","CC","GO:0016021","Ca4"
101490159,"uncharacterized LOC101490159","LOC101490159","MF","GO:0003690","Ca4"
101490159,"uncharacterized LOC101490159","LOC101490159","BP","GO:0006355","Ca4"
101490483,"gibberellin-regulated protein 2-like","LOC101490483",NA,NA,"Ca4"
101494359,"casein kinase 1-like protein 6","LOC101494359","MF","GO:0005524","Ca4"
101494359,"casein kinase 1-like protein 6","LOC101494359","MF","GO:0004674","Ca4"
101491026,"DNA ligase 1","LOC101491026","MF","GO:0016874","Ca4"
101491341,"NAC domain-containing protein","NAC32","CC","GO:0005634","Ca4"
101491341,"NAC domain-containing protein","NAC32","MF","GO:0003677","Ca4"
101491341,"NAC domain-containing protein","NAC32","BP","GO:0006355","Ca4"
101492860,"uncharacterized membrane protein At4g09580-like","LOC101492860","CC","GO:0016021","Ca4"
101492532,"50S ribosomal protein L21, chloroplastic","LOC101492532","CC","GO:0005840","Ca4"
101492532,"50S ribosomal protein L21, chloroplastic","LOC101492532","MF","GO:0003723","Ca4"
101492532,"50S ribosomal protein L21, chloroplastic","LOC101492532","MF","GO:0003735","Ca4"
101492532,"50S ribosomal protein L21, chloroplastic","LOC101492532","BP","GO:0006412","Ca4"
101492192,"calcium-dependent protein kinase 4-like","LOC101492192","MF","GO:0005524","Ca4"
101492192,"calcium-dependent protein kinase 4-like","LOC101492192","MF","GO:0005509","Ca4"
101492192,"calcium-dependent protein kinase 4-like","LOC101492192","MF","GO:0004674","Ca4"
101491857,"transcription factor UPBEAT1-like","LOC101491857",NA,NA,"Ca4"
101493192,"exocyst complex component SEC5A-like","LOC101493192","CC","GO:0000145","Ca4"
101493192,"exocyst complex component SEC5A-like","LOC101493192","BP","GO:0006887","Ca4"
101493192,"exocyst complex component SEC5A-like","LOC101493192","BP","GO:0006893","Ca4"
101493192,"exocyst complex component SEC5A-like","LOC101493192","BP","GO:0015031","Ca4"
101493734,"ABC transporter G family member 25","LOC101493734","CC","GO:0016021","Ca4"
101493734,"ABC transporter G family member 25","LOC101493734","MF","GO:0005524","Ca4"
101493734,"ABC transporter G family member 25","LOC101493734","MF","GO:0016887","Ca4"
101494056,"uncharacterized LOC101494056","LOC101494056",NA,NA,"Ca4"
101494668,"protein SCARECROW-like","LOC101494668",NA,NA,"Ca4"
101494678,"receptor homology region, transmembrane domain- and RING domain-containing protein 2-like","LOC101494678","CC","GO:0016021","Ca4"
101494370,"protein disulfide-isomerase 5-2","LOC101494370","CC","GO:0005623","Ca4"
101494370,"protein disulfide-isomerase 5-2","LOC101494370","CC","GO:0016021","Ca4"
101494370,"protein disulfide-isomerase 5-2","LOC101494370","MF","GO:0016853","Ca4"
101494370,"protein disulfide-isomerase 5-2","LOC101494370","BP","GO:0045454","Ca4"
101495220,"putative CCA tRNA nucleotidyltransferase 2","LOC101495220",NA,NA,"Ca4"
101495537,"alpha-(1,4)-fucosyltransferase","LOC101495537","CC","GO:0032580","Ca4"
101495537,"alpha-(1,4)-fucosyltransferase","LOC101495537","CC","GO:0016021","Ca4"
101495537,"alpha-(1,4)-fucosyltransferase","LOC101495537","MF","GO:0008417","Ca4"
101495537,"alpha-(1,4)-fucosyltransferase","LOC101495537","BP","GO:0006486","Ca4"
101495868,"sucrose transport protein-like","LOC101495868","CC","GO:0005887","Ca4"
101495868,"sucrose transport protein-like","LOC101495868","MF","GO:0008515","Ca4"
113786107,"uncharacterized LOC113786107","LOC113786107",NA,NA,"Ca4"
101494988,"serine/threonine-protein kinase tricorner-like","LOC101494988","MF","GO:0005524","Ca4"
101494988,"serine/threonine-protein kinase tricorner-like","LOC101494988","MF","GO:0004674","Ca4"
101496198,"uncharacterized LOC101496198","LOC101496198",NA,NA,"Ca4"
101496525,"protein-tyrosine-phosphatase PTP1","LOC101496525","MF","GO:0004725","Ca4"
101497515,"uncharacterized LOC101497515","LOC101497515","MF","GO:0003676","Ca4"
101497515,"uncharacterized LOC101497515","LOC101497515","MF","GO:0004523","Ca4"
101491029,"protein GAMETE EXPRESSED 2","LOC101491029",NA,NA,"Ca4"
101497849,"G-type lectin S-receptor-like serine/threonine-protein kinase At1g34300","LOC101497849","MF","GO:0005524","Ca4"
101497849,"G-type lectin S-receptor-like serine/threonine-protein kinase At1g34300","LOC101497849","MF","GO:0030246","Ca4"
101497849,"G-type lectin S-receptor-like serine/threonine-protein kinase At1g34300","LOC101497849","MF","GO:0004674","Ca4"
101497849,"G-type lectin S-receptor-like serine/threonine-protein kinase At1g34300","LOC101497849","BP","GO:0048544","Ca4"
101491343,"probable arabinosyltransferase ARAD1","LOC101491343","MF","GO:0016757","Ca4"
101491343,"probable arabinosyltransferase ARAD1","LOC101491343","BP","GO:0006486","Ca4"
101491665,"protein DMP2-like","LOC101491665",NA,NA,"Ca4"
101498600,"putative 1-phosphatidylinositol-3-phosphate 5-kinase FAB1D","LOC101498600","MF","GO:0005524","Ca4"
101498600,"putative 1-phosphatidylinositol-3-phosphate 5-kinase FAB1D","LOC101498600","MF","GO:0016307","Ca4"
101499983,"angio-associated migratory cell protein","LOC101499983",NA,NA,"Ca4"
113786142,"uncharacterized LOC113786142","LOC113786142",NA,NA,"Ca4"
101500738,"somatic embryogenesis receptor kinase 2","LOC101500738","CC","GO:0016021","Ca4"
101500738,"somatic embryogenesis receptor kinase 2","LOC101500738","MF","GO:0005524","Ca4"
101500738,"somatic embryogenesis receptor kinase 2","LOC101500738","MF","GO:0005102","Ca4"
101500738,"somatic embryogenesis receptor kinase 2","LOC101500738","MF","GO:0004675","Ca4"
101492641,"ethylene-responsive transcription factor LEP-like","LOC101492641","CC","GO:0005634","Ca4"
101492641,"ethylene-responsive transcription factor LEP-like","LOC101492641","MF","GO:0003677","Ca4"
101492641,"ethylene-responsive transcription factor LEP-like","LOC101492641","MF","GO:0003700","Ca4"
101492973,"cytochrome P450 78A7","LOC101492973",NA,NA,"Ca4"
101495531,"ABC transporter I family member 21","LOC101495531","MF","GO:0005524","Ca4"
101495531,"ABC transporter I family member 21","LOC101495531","MF","GO:0016887","Ca4"
101501048,"geraniol 8-hydroxylase-like","LOC101501048","MF","GO:0020037","Ca4"
101501048,"geraniol 8-hydroxylase-like","LOC101501048","MF","GO:0005506","Ca4"
101501048,"geraniol 8-hydroxylase-like","LOC101501048","MF","GO:0004497","Ca4"
101501048,"geraniol 8-hydroxylase-like","LOC101501048","MF","GO:0016705","Ca4"
101501361,"protein COFACTOR ASSEMBLY OF COMPLEX C SUBUNIT B CCB3, chloroplastic","LOC101501361","CC","GO:0016021","Ca4"
101501901,"cleavage stimulating factor 64","LOC101501901","MF","GO:0003723","Ca4"
101501901,"cleavage stimulating factor 64","LOC101501901","BP","GO:0031124","Ca4"
101502228,"NAC domain-containing protein","NAC33","CC","GO:0016021","Ca4"
101502228,"NAC domain-containing protein","NAC33","CC","GO:0005634","Ca4"
101502228,"NAC domain-containing protein","NAC33","MF","GO:0003677","Ca4"
101502228,"NAC domain-containing protein","NAC33","BP","GO:0006355","Ca4"
101502547,"sphinganine C4-monooxygenase 1-like","LOC101502547","CC","GO:0016021","Ca4"
101502547,"sphinganine C4-monooxygenase 1-like","LOC101502547","MF","GO:0005506","Ca4"
101502547,"sphinganine C4-monooxygenase 1-like","LOC101502547","MF","GO:0004497","Ca4"
101502547,"sphinganine C4-monooxygenase 1-like","LOC101502547","BP","GO:0008610","Ca4"
101502862,"probable F-actin-capping protein subunit beta","LOC101502862","CC","GO:0005737","Ca4"
101502862,"probable F-actin-capping protein subunit beta","LOC101502862","CC","GO:0008290","Ca4"
101502862,"probable F-actin-capping protein subunit beta","LOC101502862","MF","GO:0003779","Ca4"
101502862,"probable F-actin-capping protein subunit beta","LOC101502862","BP","GO:0030036","Ca4"
101502862,"probable F-actin-capping protein subunit beta","LOC101502862","BP","GO:0051016","Ca4"
101503184,"tRNA pseudouridine(38/39) synthase","LOC101503184","MF","GO:0009982","Ca4"
101503184,"tRNA pseudouridine(38/39) synthase","LOC101503184","MF","GO:0003723","Ca4"
101503184,"tRNA pseudouridine(38/39) synthase","LOC101503184","BP","GO:0001522","Ca4"
101495858,"protein CHROMATIN REMODELING 8","LOC101495858","MF","GO:0005524","Ca4"
101503722,"uncharacterized LOC101503722","LOC101503722","CC","GO:0016021","Ca4"
101504052,"ras-related protein Rab7-like","LOC101504052","MF","GO:0005525","Ca4"
101504052,"ras-related protein Rab7-like","LOC101504052","MF","GO:0003924","Ca4"
101504363,"uncharacterized LOC101504363","LOC101504363","CC","GO:0016021","Ca4"
101505767,"polyadenylate-binding protein 3","LOC101505767","CC","GO:0005737","Ca4"
101505767,"polyadenylate-binding protein 3","LOC101505767","MF","GO:0003723","Ca4"
101506295,"hypoxanthine-guanine phosphoribosyltransferase","LOC101506295","CC","GO:0005737","Ca4"
101506295,"hypoxanthine-guanine phosphoribosyltransferase","LOC101506295","MF","GO:0052657","Ca4"
101506295,"hypoxanthine-guanine phosphoribosyltransferase","LOC101506295","MF","GO:0004422","Ca4"
101506295,"hypoxanthine-guanine phosphoribosyltransferase","LOC101506295","MF","GO:0046872","Ca4"
101506295,"hypoxanthine-guanine phosphoribosyltransferase","LOC101506295","MF","GO:0000166","Ca4"
101506295,"hypoxanthine-guanine phosphoribosyltransferase","LOC101506295","BP","GO:0032264","Ca4"
101506295,"hypoxanthine-guanine phosphoribosyltransferase","LOC101506295","BP","GO:0006166","Ca4"
101493629,"F-box/kelch-repeat protein At3g23880-like","LOC101493629",NA,NA,"Ca4"
101506618,"F-box/kelch-repeat protein At3g23880-like","LOC101506618",NA,NA,"Ca4"
101496185,"uncharacterized protein At1g03900","LOC101496185","CC","GO:0016020","Ca4"
101496185,"uncharacterized protein At1g03900","LOC101496185","BP","GO:0006897","Ca4"
101496514,"dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 2-like","LOC101496514","CC","GO:0016021","Ca4"
101496514,"dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 2-like","LOC101496514","CC","GO:0008250","Ca4"
101496514,"dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 2-like","LOC101496514","MF","GO:0016740","Ca4"
101496514,"dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 2-like","LOC101496514","BP","GO:0006487","Ca4"
101506954,"F-box/kelch-repeat protein At3g23880-like","LOC101506954",NA,NA,"Ca4"
101507276,"uncharacterized LOC101507276","LOC101507276",NA,NA,"Ca4"
101507586,"probable LRR receptor-like serine/threonine-protein kinase At1g34110","LOC101507586","CC","GO:0016021","Ca4"
101507586,"probable LRR receptor-like serine/threonine-protein kinase At1g34110","LOC101507586","MF","GO:0005524","Ca4"
101507586,"probable LRR receptor-like serine/threonine-protein kinase At1g34110","LOC101507586","MF","GO:0004674","Ca4"
101507905,"ran-binding protein 1 homolog b-like","LOC101507905","BP","GO:0046907","Ca4"
101508219,"30S ribosomal protein S1","LOC101508219","MF","GO:0003676","Ca4"
101497053,"probable methyltransferase PMT1","LOC101497053","CC","GO:0016021","Ca4"
101497053,"probable methyltransferase PMT1","LOC101497053","MF","GO:0008168","Ca4"
101497053,"probable methyltransferase PMT1","LOC101497053","BP","GO:0032259","Ca4"
101508543,"type IV inositol polyphosphate 5-phosphatase 3-like","LOC101508543","MF","GO:0016787","Ca4"
101508543,"type IV inositol polyphosphate 5-phosphatase 3-like","LOC101508543","BP","GO:0046856","Ca4"
101509284,"probable aquaporin NIP5-1","LOC101509284","CC","GO:0016021","Ca4"
101509284,"probable aquaporin NIP5-1","LOC101509284","MF","GO:0015267","Ca4"
101509598,"probable choline kinase 1","LOC101509598","MF","GO:0016301","Ca4"
101509931,"ATP synthase mitochondrial F1 complex assembly factor 1-like","LOC101509931","CC","GO:0005739","Ca4"
101509931,"ATP synthase mitochondrial F1 complex assembly factor 1-like","LOC101509931","BP","GO:0065003","Ca4"
101510252,"S-adenosylmethionine carrier 1, chloroplastic/mitochondrial","LOC101510252","CC","GO:0016021","Ca4"
101510252,"S-adenosylmethionine carrier 1, chloroplastic/mitochondrial","LOC101510252","MF","GO:0022857","Ca4"
101510794,"carboxypeptidase SOL1","LOC101510794","CC","GO:0016021","Ca4"
101510794,"carboxypeptidase SOL1","LOC101510794","MF","GO:0004181","Ca4"
101510794,"carboxypeptidase SOL1","LOC101510794","MF","GO:0004185","Ca4"
101510794,"carboxypeptidase SOL1","LOC101510794","MF","GO:0008270","Ca4"
101497387,"serine/threonine-protein kinase 19","LOC101497387","MF","GO:0016301","Ca4"
101511540,"protein GIGANTEA","GI","BP","GO:2000028","Ca4"
101512073,"40S ribosomal protein S18-like","LOC101512073","CC","GO:0005840","Ca4"
101512073,"40S ribosomal protein S18-like","LOC101512073","MF","GO:0003723","Ca4"
101512073,"40S ribosomal protein S18-like","LOC101512073","MF","GO:0003735","Ca4"
101512073,"40S ribosomal protein S18-like","LOC101512073","BP","GO:0006412","Ca4"
101512401,"UDP-rhamnose/UDP-galactose transporter 6","LOC101512401","CC","GO:0016021","Ca4"
101512715,"uncharacterized LOC101512715","LOC101512715",NA,NA,"Ca4"
101513041,"light-harvesting complex-like protein OHP2, chloroplastic","LOC101513041",NA,NA,"Ca4"
101513918,"probable serine/threonine-protein kinase At1g54610","LOC101513918","MF","GO:0005524","Ca4"
101513918,"probable serine/threonine-protein kinase At1g54610","LOC101513918","MF","GO:0004672","Ca4"
101514256,"peroxidase 12","LOC101514256","CC","GO:0005576","Ca4"
101514256,"peroxidase 12","LOC101514256","MF","GO:0020037","Ca4"
101514256,"peroxidase 12","LOC101514256","MF","GO:0046872","Ca4"
101514256,"peroxidase 12","LOC101514256","MF","GO:0004601","Ca4"
101514256,"peroxidase 12","LOC101514256","BP","GO:0042744","Ca4"
101514256,"peroxidase 12","LOC101514256","BP","GO:0006979","Ca4"
